,CV_F1,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8681791104698376,0.8858695652173914,0.8715596330275229,0.9313725490196079,0.9004739336492891,0.9308943089430894
KNN,0.7327121456626335,0.6956521739130435,0.7254901960784313,0.7254901960784313,0.7254901960784313,0.748565279770445
Random Forest,0.8792021443981349,0.8967391304347826,0.8878504672897196,0.9313725490196079,0.9090909090909091,0.9349593495934959
Extra Trees,0.8735241305626762,0.8913043478260869,0.8796296296296297,0.9313725490196079,0.9047619047619048,0.9448230511716882
Gradient Boosting,0.871470999301188,0.875,0.8910891089108911,0.8823529411764706,0.8866995073891626,0.9318507890961262
XGBoost,0.863509931913925,0.8586956521739131,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.9219273075083692
LightGBM,0.8706456917691616,0.8586956521739131,0.8653846153846154,0.8823529411764706,0.8737864077669902,0.9233620277379244
